503321,Meine Oma spinnt
19908,Zombieland
503314,Dragon Ball Super: Broly
257445,Goosebumps
324849,The Lego Batman Movie
517061,Weiser
268531,Captain Underpants: The First Epic Movie
337170,American Made
72105,Ted
339404,The Layover
88751,Journey to the Center of the Earth
256961,Paul Blart: Mall Cop 2
399796,Life of the Party
399170,Logan Lucky
196867,Annie
517324,Yucatán
512180,Yamla Pagla Deewana: Phir Se
114150,Pitch Perfect
787,Mr. & Mrs. Smith
1597,Meet the Parents
95610,Bridget Jones's Baby
109439,The Hangover Part III
10527,Madagascar: Escape 2 Africa
301337,Downsizing
414919,Hart Beat
136799,Trolls
20256,The Bodyguard
193893,Let's Be Cops
4327,Charlie's Angels
200727,"Love, Rosie"
272693,The DUFF
325133,Neighbors 2: Sorority Rising
2332,Taxi 2
290250,The Nice Guys
65057,The Descendants
4638,Hot Fuzz
508,Love Actually
378236,The Emoji Movie
137116,Smurfs: The Lost Village
223702,Sausage Party
346648,Paddington 2
256591,Focus
9928,Robots
8871,How the Grinch Stole Christmas
187017,22 Jump Street
228161,Home
22794,Cloudy with a Chance of Meatballs
10555,Shark Tale
1574,Chicago
10201,Yes Man
71552,American Reunion
122906,About Time
485880,Safari: Match Me If You Can
35,The Simpsons Movie
11774,Lemony Snicket's A Series of Unfortunate Events
4523,Enchanted
80321,Madagascar 3: Europe's Most Wanted
228967,The Interview
239563,St. Vincent
138832,We're the Millers
536429,Shailaja Reddy Alludu
5559,Bee Movie
37834,Knight and Day
265195,Wild Tales
137106,The Lego Movie
39514,RED
501763,Scheidung für Anfänger
62213,Dark Shadows
136400,2 Guns
50022,Super Troopers 2
302699,Central Intelligence
4256,Scary Movie 3
4258,Scary Movie 5
13971,Wild Child
22970,The Cabin in the Woods
22705,Cheeky
172385,Rio 2
44896,Rango
86838,Seven Psychopaths
257211,The Intern
134374,Pain & Gain
195589,Neighbors
41513,The Smurfs
8273,American Wedding
9836,Happy Feet
9486,Johnny English
100042,Dumb and Dumber To
116149,Paddington
296099,Vacation
49524,R.I.P.D.
109414,This Is the End
436931,Pokémon the Movie: I Choose You!
9023,Spirit: Stallion of the Cimarron
400928,Gifted
11283,Nanny McPhee
18240,The Proposal
138697,Don Jon
693,Meet the Fockers
9471,Charlie's Angels: Full Throttle
6477,Alvin and the Chipmunks
11430,The Lion King 1½
419680,Daddy's Home 2
49519,The Croods
490214,Iceman 2
425980,Brad's Status
511785,Alex Strangelove
228326,The Book of Life
1268,Mr. Bean's Holiday
9352,EuroTrip
9398,Zoolander
431530,A Bad Moms Christmas
1824,50 First Dates
392,Chocolat
211672,Minions
518452,Like Father
2976,Hairspray
474125,The Golden Monk
8961,Bad Boys II
9982,Chicken Little
11024,Scooby-Doo 2: Monsters Unleashed
8584,Shanghai Noon
146216,RED 2
10315,Fantastic Mr. Fox
507143,Candy Jar
254320,The Lobster
308531,Teenage Mutant Ninja Turtles: Out of the Shadows
634,Bridget Jones's Diary
6957,The 40 Year Old Virgin
224141,Into the Woods
371638,The Disaster Artist
12242,Mulan II
332210,Storks
262391,Serial (Bad) Weddings
252838,The Wedding Ringer
261392,American Ultra
4964,Knocked Up
203801,The Man from U.N.C.L.E.
87567,The Big Wedding
5236,Kiss Kiss Bang Bang
523849,The Last Sharknado: It's About Time
371645,Hunt for the Wilderpeople
59436,Midnight in Paris
4257,Scary Movie 4
376660,The Edge of Seventeen
351964,The Escort
308266,War Dogs
37735,Easy A
339967,Colossal
27022,The Sorcerer's Apprentice
375107,Duck Duck Goose
9339,Click
62764,Mirror Mirror
50544,Friends with Benefits
15165,Barbie as The Princess & the Pauper
55721,Bridesmaids
9880,The Princess Diaries
594,The Terminal
259694,How to Be Single
209244,Are You Here
11619,Flushed Away
11130,The Princess Diaries 2: Royal Engagement
391710,A Futile and Stupid Gesture
20760,Lilo & Stitch 2: Stitch has a Glitch
354861,Father Figures
51540,Horrible Bosses
10054,Spy Kids
295964,Burnt
533,Wallace & Gromit: The Curse of the Were-Rabbit
50646,"Crazy, Stupid, Love."
342473,Ballerina
